SEASON_ID,Player_ID,Game_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE
22013,2544,0021300583,37,7,13,1,8,0.875,1,7,8,10,2,1,3,3,21,17,0.538,0,0.0,7,0.259
22013,2544,0021300568,41,8,18,4,10,0.9,2,6,8,7,2,0,4,1,25,-15,0.444,0,0.0,9,0.139
22013,2544,0021300537,49,12,21,5,12,0.833,3,4,7,5,0,0,4,6,36,-1,0.571,2,0.4,10,0.192
22013,2544,0021300529,41,12,17,4,11,0.636,0,5,5,6,1,1,6,2,32,1,0.706,1,0.25,7,0.165
22013,2544,0021300511,35,13,22,6,3,1.0,1,2,3,5,2,0,3,1,32,19,0.591,3,0.5,3,0.206
22013,2544,0021300500,38,12,18,0,7,0.857,1,3,4,5,1,0,1,1,30,1,0.667,0,0.0,6,0.231
22013,2544,0021300490,36,5,13,1,8,0.625,1,7,8,8,1,0,3,1,15,17,0.385,0,0.0,5,0.122
22013,2544,0021300474,40,10,16,4,8,0.625,0,5,5,5,0,1,8,0,26,-11,0.625,1,0.25,5,0.1
22013,2544,0021300457,40,8,15,9,8,0.625,1,5,6,10,0,1,4,0,26,4,0.533,5,0.556,5,0.184
22013,2544,0021300434,44,12,23,9,6,0.833,0,8,8,8,0,0,2,3,33,-10,0.522,4,0.444,5,0.213
22013,2544,0021300420,36,7,14,4,9,0.556,0,8,8,4,0,0,2,2,19,0,0.5,0,0.0,5,0.121
22013,2544,0021300411,46,16,28,9,6,0.333,4,4,8,6,2,0,0,2,38,-4,0.571,4,0.444,2,0.199
22013,2544,0021300387,31,8,11,2,2,0.5,2,4,6,8,1,1,1,1,18,14,0.727,1,0.5,1,0.168
22013,2544,0021300369,36,8,14,3,7,1.0,0,9,9,7,3,0,3,3,24,16,0.571,1,0.333,7,0.264
22013,2544,0021300360,34,13,17,1,5,0.8,1,8,9,9,1,0,3,1,30,24,0.765,0,0.0,4,0.271
22013,2544,0021300344,41,9,12,2,10,0.7,2,7,9,9,4,0,2,2,25,6,0.75,0,0.0,7,0.223
22013,2544,0021300311,39,6,16,4,6,0.667,1,13,14,6,2,0,5,3,17,-2,0.375,1,0.25,4,0.149
22013,2544,0021300300,35,10,15,2,5,0.8,1,6,7,9,2,0,6,2,24,18,0.667,0,0.0,4,0.212
22013,2544,0021300294,31,9,12,0,5,0.6,4,10,14,8,2,0,7,3,21,9,0.75,0,0.0,3,0.327
